Prestwick Chemical Library ID	Compound Name	Subset	Well	Plate1	Plate2	Plate3	Plate4	NonInfectedToxHit	UZH_mean_numberOfNucleiHit	UZH_mean_numberOfInfectedNucleiHit	UZH_mean_infectionIndexHit	UZH_mean_numberOfPlaquesHit	UZH_mean_totalVirusIntensityHit	UZH_mean_numberOfNuclei_normalized	UZH_mean_numberOfInfectedNuclei_normalized	UZH_mean_infectionIndex_normalized	UZH_mean_numberOfPlaques_normalized	UZH_mean_totalVirusIntensity_normalized	Validation_ongoing
Prestw-50	Lidoca hydrochloride	C	L16	BSF018294	BSF018298	BSF018302	BSF018306	0						1.011280828	1.004337968	0.99801434	1.180320946	0.991900816	
Prestw-52	Carbamazepine	C	O17	BSF018294	BSF018298	BSF018302	BSF018306	0						0.953497473	0.931464573	0.978164536	1.024774775	0.938011929	
Prestw-53	Triflupromazine hydrochloride	C	H18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.998670553	1.108712804	1.112125129	1.006475225	1.145479061	
Prestw-54	Mefenamic acid	C	B19	BSF018294	BSF018298	BSF018302	BSF018306	0						0.949891594	1.029273997	1.083492207	0.933277027	1.090083854	
Prestw-55	Acetohexamide	C	M19	BSF018294	BSF018298	BSF018302	BSF018306	0						1.006479857	0.967542994	0.961588809	0.960726351	0.955257892	
Prestw-56	Sulpiride	C	G20	BSF018294	BSF018298	BSF018302	BSF018306	0						1.016370269	1.00253763	0.982504059	0.878378378	0.940393807	
Prestw-57	Benoxinate hydrochloride	C	K20	BSF018294	BSF018298	BSF018302	BSF018306	0						1.084682791	1.021167996	0.940795458	0.969876126	0.935894668	
Prestw-58	Oxethazaine	C	P20	BSF018294	BSF018298	BSF018302	BSF018306	0						0.942563074	0.999169833	1.054845956	1.061373874	1.092988048	
Prestw-59	Pheniramine maleate	C	E21	BSF018294	BSF018298	BSF018302	BSF018306	0						0.923537768	0.984507376	1.067031028	1.097972973	1.059573969	
Prestw-60	Tolazoline hydrochloride	C	I21	BSF018294	BSF018298	BSF018302	BSF018306	0						1.02439936	1.024213344	0.997827522	0.905827703	1.014359869	
Prestw-61	Morantel tartrate	C	K21	BSF018294	BSF018298	BSF018302	BSF018306	0						1.053273866	1.036887367	0.986230515	1.015625	0.948207351	
Prestw-62	Homatropine hydrobromide (R,S)	C	O21	BSF018294	BSF018298	BSF018302	BSF018306	0						0.964555502	0.934411396	0.977346059	0.878378378	0.962118239	
Prestw-63	Nifedipine	C	C22	BSF018294	BSF018298	BSF018302	BSF018306	0						1.007997761	0.926690542	0.918604271	0.933277027	0.820979632	
Prestw-64	Chlorpromazine hydrochloride	C	H22	BSF018294	BSF018298	BSF018302	BSF018306	0						1.046941256	1.065665909	1.011989791	0.99732545	0.950389161	
Prestw-65	Diphenhydramine hydrochloride	C	N22	BSF018294	BSF018298	BSF018302	BSF018306	0						1.039647077	1.034979546	0.998826494	0.924127252	0.988982879	
Prestw-66	Minaprine dihydrochloride	D	H3	BSF018294	BSF018298	BSF018302	BSF018306	0						1.051124075	1.090852731	1.030921877	1.070523649	1.019113617	
Prestw-67	Miconazole	D	K3	BSF018294	BSF018298	BSF018302	BSF018306	0						0.991609899	0.859791405	0.862245917	0.99732545	0.811448403	
Prestw-68	Isoxsuprine hydrochloride	D	N3	BSF018294	BSF018298	BSF018302	BSF018306	0						1.02738022	1.061250154	1.030807487	0.969876126	1.053553836	
Prestw-69	Acebutolol hydrochloride	D	A4	BSF018294	BSF018298	BSF018302	BSF018306	0						0.983567071	0.954537566	0.969093196	0.979025901	0.981701651	
Prestw-70	Tolnaftate	D	J4	BSF018294	BSF018298	BSF018302	BSF018306	0						1.043266693	1.018265958	0.975432997	0.979025901	0.967846529	
Prestw-71	Todralazine hydrochloride	D	E5	BSF018294	BSF018298	BSF018302	BSF018306	0						1.00551829	1.016564146	1.014163392	1.152871622	1.001886355	
Prestw-72	Imipramine hydrochloride	D	O5	BSF018294	BSF018298	BSF018302	BSF018306	1						0.519246598	0.586972978	1.121090601	1.079673423	0.825739419	
Prestw-73	Sulindac	D	I6	BSF018294	BSF018298	BSF018302	BSF018306	0						1.048390476	0.989603856	0.943008379	0.924127252	0.913952222	
Prestw-74	Amitryptiline hydrochloride	D	C7	BSF018295	BSF018299	BSF018303	BSF018307	0						0.97731688	0.952558089	0.974979021	0.988175676	0.949561826	
Prestw-75	Adiphenine hydrochloride	D	M7	BSF018295	BSF018299	BSF018303	BSF018307	0						1.010958016	1.01646562	1.004515595	0.988175676	0.991061254	
Prestw-76	Dibucaine	D	H8	BSF018295	BSF018299	BSF018303	BSF018307	0						0.963827458	0.975568383	1.009868941	0.951576577	1.010028496	
Prestw-77	Prednisone	D	C9	BSF018295	BSF018299	BSF018303	BSF018307	0						0.963319201	0.844761715	0.877915911	0.988175676	0.884570858	
Prestw-78	Thioridazine hydrochloride	D	N9	BSF018295	BSF018299	BSF018303	BSF018307	0						1.03367162	1.107727544	1.071684415	0.988175676	1.073103526	
Prestw-79	Diphemanil methylsulfate	D	I10	BSF018295	BSF018299	BSF018303	BSF018307	0						1.058013022	0.970427118	0.921871623	0.887528153	0.865854244	
Prestw-80	Trimethobenzamide hydrochloride	D	E11	BSF018295	BSF018299	BSF018303	BSF018307	0						0.938400859	1.010195785	1.074763901	1.043074324	1.090687696	
Prestw-81	Metronidazole	D	P11	BSF018295	BSF018299	BSF018303	BSF018307	0						0.873556849	0.995085483	1.130242178	1.162021396	1.168187139	
Prestw-83	Edrophonium chloride	D	B13	BSF018295	BSF018299	BSF018303	BSF018307	0						0.987784232	1.04802976	1.059229213	1.061373874	1.081820027	
Prestw-84	Moroxidine hydrochloride	D	L13	BSF018295	BSF018299	BSF018303	BSF018307	0						1.020429458	1.09453402	1.069812611	1.061373874	1.042480102	
Prestw-85	Baclofen (R,S)	D	E14	BSF018295	BSF018299	BSF018303	BSF018307	0						1.000456322	1.097239006	1.091183736	1.107122748	1.115323874	
Prestw-86	Acyclovir	D	O14	BSF018295	BSF018299	BSF018303	BSF018307	0						1.009014275	1.056296985	1.045029969	1.061373874	1.038689872	
Prestw-87	Diazoxide	D	I15	BSF018295	BSF018299	BSF018303	BSF018307	0						1.083281649	1.060166368	0.983923948	1.043074324	0.916230438	
Prestw-88	Amidopyrine	D	B16	BSF018295	BSF018299	BSF018303	BSF018307	0						0.889779871	0.929082036	1.040732833	0.933277027	1.018717113	
Prestw-90	Pindolol	D	C17	BSF018295	BSF018299	BSF018303	BSF018307	0						0.993347589	0.999340014	1.006345535	0.80518018	0.918620503	
Prestw-91	Khellin	D	M17	BSF018295	BSF018299	BSF018303	BSF018307	0						0.93052974	0.976392418	1.043692176	1.015625	1.020956767	
Prestw-92	Zimelidine dihydrochloride monohydrate	D	H18	BSF018295	BSF018299	BSF018303	BSF018307	0						0.958861647	1.02431187	1.068528003	1.043074324	1.027984944	
Prestw-93	Azacyclonol	D	C19	BSF018295	BSF018299	BSF018303	BSF018307	0						1.017098313	1.098358619	1.076275	0.896677928	1.087879918	
Prestw-94	Azathioprine	D	N19	BSF018295	BSF018299	BSF018303	BSF018307	0						1.02936517	1.082621334	1.049811728	0.969876126	1.047649649	
Prestw-95	Lynestrenol	D	H20	BSF018295	BSF018299	BSF018303	BSF018307	0						0.985387181	1.01921539	1.031086965	1.043074324	1.023991231	
Prestw-96	Guanabenz acetate	D	A21	BSF018295	BSF018299	BSF018303	BSF018307	0						0.82465426	0.809749166	0.982251839	0.850929054	0.83233967	
Prestw-97	Disulfiram	D	H21	BSF018295	BSF018299	BSF018303	BSF018307	1						0.827854907	0.826606065	0.968934406	0.850929054	0.834690312	
Prestw-98	Acetylsalicylsalicylic acid	D	B22	BSF018295	BSF018299	BSF018303	BSF018307	0						1.002667928	1.082191402	1.075985162	1.070523649	1.13895537	
Prestw-99	Mianserine hydrochloride	D	H22	BSF018295	BSF018299	BSF018303	BSF018307	0						1.011349511	0.956893232	0.944820333	1.079673423	0.899083781	
Prestw-100	Nocodazole	A	C3	BSF018295	BSF018299	BSF018303	BSF018307	1						0.348101271	0.321964974	0.928548744	1.290118243	0.595685676	
Prestw-101	R(-) Apomorphine hydrochloride hemihydrate	A	M3	BSF018295	BSF018299	BSF018303	BSF018307	0						0.913798461	0.87477631	0.967422302	1.143721847	0.94667738	
Prestw-102	Amoxapine	A	G4	BSF018295	BSF018299	BSF018303	BSF018307	0						1.03379525	1.219384345	1.173529644	1.216920045	1.283434737	
Prestw-103	Cyproheptadine hydrochloride	A	A5	BSF018295	BSF018299	BSF018303	BSF018307	0						0.978649339	1.144782268	1.169484551	1.180320946	1.342123281	
Prestw-104	Famotidine	A	L5	BSF018295	BSF018299	BSF018303	BSF018307	0						1.052236747	1.029175471	0.973072813	1.052224099	0.99338566	
Prestw-105	Danazol	A	G6	BSF018295	BSF018299	BSF018303	BSF018307	0						1.000840949	0.982286063	0.983286875	1.024774775	0.970650716	
Prestw-106	Nicorandil	A	B7	BSF018295	BSF018299	BSF018303	BSF018307	0						0.997763932	0.944147554	0.942342232	0.905827703	0.909373792	
Prestw-108	Nomifensine maleate	A	D8	BSF018295	BSF018299	BSF018303	BSF018307	0						0.945111228	0.951796752	1.00390414	0.933277027	1.027173574	
Prestw-109	Dizocilpine maleate	A	K8	BSF018292	BSF018296	BSF018300	BSF018304	0						1.011741007	1.024750759	1.018356592	1.088823198	1.028248943	
Prestw-110	Acenocoumarol	A	E9	BSF018292	BSF018296	BSF018300	BSF018304	0						1.020841559	1.182374406	1.158316603	1.180320946	1.244390673	
Prestw-111	Naloxone hydrochloride	A	N9	BSF018292	BSF018296	BSF018300	BSF018304	0						1.072725009	1.031961069	0.956945486	1.043074324	0.928601648	
Prestw-112	Metolazone	A	I10	BSF018292	BSF018296	BSF018300	BSF018304	0						1.04091772	1.005887513	0.967016814	0.979025901	0.950132237	
Prestw-113	Ciprofloxacin hydrochloride hydrate	A	O10	BSF018292	BSF018296	BSF018300	BSF018304	0						0.972165624	1.094193658	1.126513303	1.079673423	1.175422867	
Prestw-114	Ampicillin trihydrate	A	F11	BSF018292	BSF018296	BSF018300	BSF018304	0						0.989130427	1.090467584	1.101936538	1.070523649	1.137957069	
Prestw-115	Haloperidol	A	J11	BSF018292	BSF018296	BSF018300	BSF018304	0						1.07975819	1.017979337	0.942343992	1.006475225	0.924909414	
Prestw-116	Naltrexone hydrochloride dihydrate	A	A12	BSF018292	BSF018296	BSF018300	BSF018304	0						0.996713076	1.030196558	1.032446424	0.988175676	1.065738736	
Prestw-117	Chlorpheniramine maleate	A	H12	BSF018292	BSF018296	BSF018300	BSF018304	0						1.042641674	1.057425555	1.013071086	1.006475225	0.995238436	
Prestw-118	Nalbuphine hydrochloride	A	O12	BSF018292	BSF018296	BSF018300	BSF018304	1						0.220686672	0.178072266	0.812133688	0.466638514	0.385324679	
Prestw-119	Picotamide monohydrate	A	H13	BSF018292	BSF018296	BSF018300	BSF018304	0						1.028698941	1.099334922	1.07263515	1.162021396	1.113513297	
Prestw-120	Triamcinolone	A	A14	BSF018292	BSF018296	BSF018300	BSF018304	1						0.542743193	0.620624077	1.133281272	1.043074324	0.833033912	
Prestw-121	Bromocryptine mesylate	A	F14	BSF018292	BSF018296	BSF018300	BSF018304	0						0.992125024	1.051836445	1.058910194	0.969876126	0.999729375	
Prestw-123	Dehydrocholic acid	A	A15	BSF018292	BSF018296	BSF018300	BSF018304	0						0.96957626	1.021015728	1.051250822	1.015625	1.080432155	
Prestw-125	Perphenazine	A	M15	BSF018292	BSF018296	BSF018300	BSF018304	0						1.019000843	1.123446915	1.098764026	1.152871622	1.11436879	
Prestw-126	Mefloquine hydrochloride	A	F16	BSF018292	BSF018296	BSF018300	BSF018304	0						0.97417118	1.180394929	1.209154378	1.262668919	1.336475636	
Prestw-127	Isoconazole	A	O16	BSF018292	BSF018296	BSF018300	BSF018304	0						1.034392796	0.884494554	0.85739813	0.850929054	0.80290121	
Prestw-128	Spironolactone	A	D17	BSF018292	BSF018296	BSF018300	BSF018304	0						1.019749493	1.049435994	1.031469198	0.979025901	1.045577201	
Prestw-129	Pirenzepine dihydrochloride	A	L17	BSF018292	BSF018296	BSF018300	BSF018304	0						1.073782733	1.106151128	1.032706699	0.951576577	1.003246018	
Prestw-130	Dexamethasone acetate	A	E18	BSF018292	BSF018296	BSF018300	BSF018304	1						0.485577989	0.547329708	1.121447727	1.070523649	0.761507798	
Prestw-131	Glipizide	A	I18	BSF018292	BSF018296	BSF018300	BSF018304	0						0.976382786	0.959293683	0.981274496	0.960726351	0.957679281	
Prestw-132	Loxapine succinate	A	A19	BSF018292	BSF018296	BSF018300	BSF018304	0						0.949046788	1.095259529	1.150291826	1.107122748	1.195541148	
Prestw-133	Hydroxyzine dihydrochloride	A	G19	BSF018292	BSF018296	BSF018300	BSF018304	0						1.012386631	0.954627135	0.944542687	0.951576577	0.939071976	
Prestw-134	Diltiazem hydrochloride	A	N19	BSF018292	BSF018296	BSF018300	BSF018304	0						1.067580621	1.176355364	1.100411967	0.960726351	1.10255131	
Prestw-135	Methotrexate	A	F20	BSF018292	BSF018296	BSF018300	BSF018304	0						0.28069537	0.0092077	0.030957496	0	0.091513896	
Prestw-136	Astemizole	A	N20	BSF018292	BSF018296	BSF018300	BSF018304	0						0.966306929	1.107629018	1.144546506	1.143721847	1.201162682	
Prestw-137	Clindamycin hydrochloride	A	G21	BSF018292	BSF018296	BSF018300	BSF018304	0						1.036769242	1.065827133	1.028837163	0.878378378	1.016299682	
Prestw-138	Terfenadine	A	M21	BSF018292	BSF018296	BSF018300	BSF018304	0						0.982653582	0.935450397	0.973726525	0.979025901	0.96581662	
Prestw-139	Cefotaxime sodium salt	A	B22	BSF018292	BSF018296	BSF018300	BSF018304	0						1.034894185	1.057846529	1.017339357	0.887528153	1.013647915	
Prestw-140	Tetracycline hydrochloride	A	J22	BSF018292	BSF018296	BSF018300	BSF018304	0						1.098797232	1.024455181	0.9312877	0.860078829	0.897454211	
Prestw-141	Verapamil hydrochloride	B	B3	BSF018292	BSF018296	BSF018300	BSF018304	0						0.984693479	0.957287336	0.97032831	0.969876126	0.944238663	
Prestw-142	Dipyridamole	B	I3	BSF018292	BSF018296	BSF018300	BSF018304	0						1.036920346	0.928562536	0.899890456	0.942426802	0.904453569	
Prestw-143	Chlorhexidine	B	P3	BSF018292	BSF018296	BSF018300	BSF018304	1						0.767832472	0.74562667	0.964347635	0.713682432	0.549296592	
Prestw-144	Loperamide hydrochloride	B	F4	BSF018292	BSF018296	BSF018300	BSF018304	0						1.031659196	1.156202324	1.115658425	1.097972973	1.154047088	
Prestw-145	Chlortetracycline hydrochloride	B	M4	BSF018292	BSF018296	BSF018300	BSF018304	0						1.037188211	0.944514787	0.925283256	1.070523649	0.877636549	
Prestw-146	Tamoxifen citrate	B	C5	BSF018292	BSF018296	BSF018300	BSF018304	0						1.027174169	1.035588616	1.000903903	1.134572072	0.996111592	
Prestw-147	Nicergoline	B	J5	BSF018292	BSF018296	BSF018300	BSF018304	0						1.091427502	1.057649478	0.970553038	0.942426802	0.963555847	
Prestw-148	Canrenoic acid potassium salt	B	D6	BSF018292	BSF018296	BSF018300	BSF018304	0						1.020896506	1.008708938	0.998441951	0.924127252	0.978546391	
Prestw-149	Thioproperazine dimesylate	B	N6	BSF018293	BSF018297	BSF018301	BSF018305	0						0.999597779	0.998963824	0.999365416	0.969876126	1.040813971	
Prestw-150	Dihydroergotamine tartrate	B	I7	BSF018293	BSF018297	BSF018301	BSF018305	0						1.033541122	1.10846201	1.074133388	0.988175676	1.082383845	
Prestw-151	Erythromycin	B	C8	BSF018293	BSF018297	BSF018301	BSF018305	0						0.918489538	0.874767353	0.960561006	0.887528153	0.940151336	
Prestw-153	Didanosine	B	I8	BSF018293	BSF018297	BSF018301	BSF018305	0						1.055670917	0.953883711	0.91027804	1.088823198	0.911520202	
Prestw-154	Josamycin	B	J8	BSF018293	BSF018297	BSF018301	BSF018305	0						1.082313213	1.067206497	0.990336969	0.969876126	0.944111834	
Prestw-155	Paclitaxel	B	K8	BSF018293	BSF018297	BSF018301	BSF018305	1						0.215713993	0.160355504	0.737992073	0.228744369	0.317291872	
Prestw-156	Ivermectin	B	L8	BSF018293	BSF018297	BSF018301	BSF018305	0						1.044578546	1.163000616	1.116033953	1.088823198	1.093036942	
Prestw-157	Gallamine triethiodide	B	M8	BSF018293	BSF018297	BSF018301	BSF018305	0						0.981918669	1.041661399	1.061340613	1.015625	1.055185644	
Prestw-158	Neomycin sulfate	B	N8	BSF018293	BSF018297	BSF018301	BSF018305	0						1.072615115	1.139184201	1.065594943	0.942426802	1.006349002	
Prestw-159	Dihydrostreptomycin sulfate	B	O8	BSF018293	BSF018297	BSF018301	BSF018305	0						0.934623271	0.986039007	1.068514294	0.988175676	1.006836912	
Prestw-160	Gentamicine sulfate	B	A9	BSF018293	BSF018297	BSF018301	BSF018305	0						0.962529342	1.006451798	1.044359979	1.097972973	0.961184014	
Prestw-161	Isoniazid	B	G9	BSF018293	BSF018297	BSF018301	BSF018305	0						1.084689659	1.044008108	0.965221473	0.969876126	0.881432099	
Prestw-162	Pentylenetetrazole	B	H9	BSF018293	BSF018297	BSF018301	BSF018305	0						1.065492645	1.104368704	1.037007933	1.024774775	1.021587232	
Prestw-163	Chlorzoxazone	B	I9	BSF018293	BSF018297	BSF018301	BSF018305	0						1.042071602	1.046937017	1.006461784	0.951576577	0.943167043	
Prestw-164	Ornidazole	B	J9	BSF018293	BSF018297	BSF018301	BSF018305	0						1.104999344	1.0351139	0.944935897	1.006475225	0.885925809	
Prestw-165	Ethosuximide	B	K9	BSF018293	BSF018297	BSF018301	BSF018305	0						1.103138024	1.128274688	1.024683747	0.988175676	0.98947774	
Prestw-166	Mafenide hydrochloride	B	L9	BSF018293	BSF018297	BSF018301	BSF018305	0						1.097299934	1.117239779	1.015370304	0.924127252	0.971927744	
Prestw-167	Riluzole hydrochloride	B	M9	BSF018293	BSF018297	BSF018301	BSF018305	0						1.069751017	1.03722773	0.974155632	0.933277027	0.921092913	
Prestw-168	Nitrofurantoin	B	N9	BSF018293	BSF018297	BSF018301	BSF018305	0						1.083700618	1.169987004	1.078079603	1.097972973	1.082760591	
Prestw-169	Hydralazine hydrochloride	B	O9	BSF018293	BSF018297	BSF018301	BSF018305	0						1.028856913	0.998507021	0.974563908	0.979025901	0.988170907	
Prestw-170	Phenelzine sulfate	B	A10	BSF018293	BSF018297	BSF018301	BSF018305	0						0.954404094	0.898082182	0.947686112	1.015625	0.900869629	
Prestw-171	Tranexamic acid	B	L10	BSF018293	BSF018297	BSF018301	BSF018305	0						1.122122119	1.147514124	1.028382597	1.079673423	0.99802939	
Prestw-172	Etofylline	B	G11	BSF018293	BSF018297	BSF018301	BSF018305	0						1.042648542	1.053986103	1.017996897	1.024774775	0.99603597	
Prestw-173	Tranylcypromine hydrochloride	B	P11	BSF018293	BSF018297	BSF018301	BSF018305	0						1.00415149	1.063668519	1.058155661	0.924127252	1.018969864	
Prestw-174	Alverine citrate salt	B	K12	BSF018293	BSF018297	BSF018301	BSF018305	0						1.071914544	1.028476832	0.952239417	1.088823198	0.982690367	
Prestw-175	Aceclofenac	B	D13	BSF018293	BSF018297	BSF018301	BSF018305	0						1.038218462	1.090324274	1.061082797	0.951576577	1.066346296	
Prestw-176	Iproniazide phosphate	B	L13	BSF018293	BSF018297	BSF018301	BSF018305	1						0.793190388	0.81350211	1.041057827	1.143721847	0.901167465	
Prestw-177	Sulfamethoxazole	B	F14	BSF018293	BSF018297	BSF018301	BSF018305	0						1.068981763	1.083033352	1.016467412	0.960726351	0.986371196	
