Prestwick Chemical Library ID	Compound Name	Subset	Well	Plate1	Plate2	Plate3	Plate4	NonInfectedToxHit	EPFL_mean_numberOfNucleiScore	EPFL_mean_numberOfInfectedNucleiScore	EPFL_mean_infectionIndexScore	EPFL_mean_numberOfPlaquesScore	EPFL_mean_totalVirusIntensityScore	EPFL_mean_numberOfNuclei_normalized	EPFL_mean_numberOfInfectedNuclei_normalized	EPFL_mean_infectionIndex_normalized	EPFL_mean_numberOfPlaques_normalized	EPFL_mean_totalVirusIntensity_normalized	Validation_ongoing
Prestw-18	Idoxuridine	B	D16	BSF018292	BSF018296	BSF018300	BSF018304	0						0.113	0.023	-0.12	-0.192	-0.071	
Prestw-19	Captopril	B	D17	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.114	-0.012	0.111	0.002	0.111	
Prestw-20	Minoxidil	B	O17	BSF018292	BSF018296	BSF018300	BSF018304	1	0.647	0.811				0.647	0.812	0.246	0.245	0.615	
Prestw-21	Sulfaphenazole	B	I18	BSF018292	BSF018296	BSF018300	BSF018304	0						0.013	0.033	0.025	-0.019	0.037	
Prestw-22	Panthenol (D)	B	D19	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.06	-0.104	-0.033	-0.054	-0.063	
Prestw-23	Sulfadiazine	B	O19	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.002	-0.057	-0.055	-0.09	-0.086	
Prestw-24	Norethynodrel	B	I20	BSF018293	BSF018297	BSF018301	BSF018305	0						0.011	-0.034	-0.041	-0.114	-0.027	
Prestw-25	Thiamphenicol	B	D21	BSF018293	BSF018297	BSF018301	BSF018305	0						0	0.056	0.058	-0.164	0.08	
Prestw-26	Cimetidine	B	O21	BSF018293	BSF018297	BSF018301	BSF018305	0						0.018	-0.065	-0.091	-0.098	-0.128	
Prestw-27	Doxylamine succinate	B	J22	BSF018293	BSF018297	BSF018301	BSF018305	0						0.015	0.208	0.208	0.016	0.234	
Prestw-28	Ethambutol dihydrochloride	C	E3	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.012	-0.089	-0.079	-0.108	-0.156	
Prestw-29	Antipyrine	C	P3	BSF018293	BSF018297	BSF018301	BSF018305	0						0.013	-0.015	-0.034	-0.031	-0.039	
Prestw-30	Antipyrine, 4-hydroxy	C	L4	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.036	-0.035	0.001	0.017	0.034	
Prestw-31	Chloramphenicol	C	G5	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.086	-0.127	-0.027	0.022	-0.04	
Prestw-32	Epirizole	C	B6	BSF018293	BSF018297	BSF018301	BSF018305	0						0.013	-0.009	-0.019	0.007	-0.015	
Prestw-33	Diprophylline	C	M6	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.01	0.135	0.151	-0.011	0.185	
Prestw-34	Triamterene	C	H7	BSF018293	BSF018297	BSF018301	BSF018305	1						-0.107	-0.033	0.087	0.033	0.124	
Prestw-35	Dapsone	C	C8	BSF018293	BSF018297	BSF018301	BSF018305	0						0.014	0.179	0.171	0.174	0.247	
Prestw-36	Troleandomycin	C	M8	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.033	-0.006	0.024	0.045	0.037	
Prestw-37	Pyrimethamine	C	H9	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.046	-0.104	-0.047	-0.002	-0.012	
Prestw-38	Hexamethonium dibromide dihydrate	C	B10	BSF018294	BSF018298	BSF018302	BSF018306	0						0.003	0.106	0.112	0.13	0.134	
Prestw-39	Diflunisal	C	M10	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.042	-0.047	0.004	-0.076	0.023	
Prestw-40	Niclosamide	C	I11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.001	-0.011	-0.009	0.118	-0.005	
Prestw-41	Procaine hydrochloride	C	A12	BSF018294	BSF018298	BSF018302	BSF018306	0						0.042	-0.043	-0.096	-0.101	-0.096	
Prestw-42	Moxisylyte hydrochoride	C	H12	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.086	-0.064	0.033	-0.041	0.039	
Prestw-43	Betazole hydrochloride	C	O12	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.004	-0.01	-0.001	-0.03	0.026	
Prestw-44	Isoxicam	C	I13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.011	-0.066	-0.081	-0.124	-0.099	
Prestw-45	Naproxen	C	B14	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.029	-0.07	-0.041	-0.146	-0.058	
Prestw-46	Naphazoline hydrochloride	C	I14	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.039	-0.064	-0.023	0.154	-0.007	
Prestw-47	Ticlopidine hydrochloride	C	P14	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.004	-0.11	-0.109	-0.152	-0.12	
Prestw-48	Dicyclomine hydrochloride	C	G15	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.047	0.044	0.103	-0.043	0.128	
Prestw-49	Amyleine hydrochloride	C	P15	BSF018294	BSF018298	BSF018302	BSF018306	0						0	0.088	0.09	0.078	0.114	
Prestw-50	Lidoca hydrochloride	C	L16	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.012	-0.044	-0.027	-0.07	-0.008	
Prestw-52	Carbamazepine	C	O17	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.005	0.032	0.039	0.133	0.053	
Prestw-53	Triflupromazine hydrochloride	C	H18	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.022	-0.189	-0.172	-0.017	-0.221	
Prestw-54	Mefenamic acid	C	B19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.035	-0.171	-0.13	0.02	-0.167	
Prestw-55	Acetohexamide	C	M19	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.027	0.002	0.032	0.052	0.037	
Prestw-56	Sulpiride	C	G20	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.071	-0.036	0.046	0.022	0.037	
Prestw-57	Benoxinate hydrochloride	C	K20	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.065	-0.039	0.034	0.096	0.07	
Prestw-58	Oxethazaine	C	P20	BSF018294	BSF018298	BSF018302	BSF018306	0						0.031	-0.075	-0.123	-0.108	-0.183	
Prestw-59	Pheniramine maleate	C	E21	BSF018294	BSF018298	BSF018302	BSF018306	0						0.015	-0.066	-0.081	-0.219	-0.131	
Prestw-60	Tolazoline hydrochloride	C	I21	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.023	-0.069	-0.045	0.049	-0.078	
Prestw-61	Morantel tartrate	C	K21	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.046	-0.013	0.043	-0.054	0.058	
Prestw-62	Homatropine hydrobromide (R,S)	C	O21	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.004	0.011	0.015	0.101	0.014	
Prestw-63	Nifedipine	C	C22	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.011	0.126	0.147	0.066	0.22	
Prestw-64	Chlorpromazine hydrochloride	C	H22	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.037	-0.072	-0.023	-0.014	0.032	
Prestw-65	Diphenhydramine hydrochloride	C	N22	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.042	-0.072	-0.027	0.134	-0.007	
Prestw-66	Minaprine dihydrochloride	D	H3	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.093	-0.118	-0.002	-0.052	-0.027	
Prestw-67	Miconazole	D	K3	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.02	0.185	0.228	0.154	0.289	
Prestw-68	Isoxsuprine hydrochloride	D	N3	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.027	-0.088	-0.055	0.017	-0.057	
Prestw-69	Acebutolol hydrochloride	D	A4	BSF018294	BSF018298	BSF018302	BSF018306	0						0.027	0.055	0.028	0.087	0.032	
Prestw-70	Tolnaftate	D	J4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.032	0.009	0.047	0.098	0.071	
Prestw-71	Todralazine hydrochloride	D	E5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.022	-0.015	0.007	-0.052	0.024	
Prestw-72	Imipramine hydrochloride	D	O5	BSF018294	BSF018298	BSF018302	BSF018306	1	0.551					0.551	0.512	-0.255	-0.042	0.285	
Prestw-73	Sulindac	D	I6	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.059	0.024	0.094	0.086	0.155	
Prestw-74	Amitryptiline hydrochloride	D	C7	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.035	0.049	0.093	0.041	0.121	
Prestw-75	Adiphenine hydrochloride	D	M7	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.036	-0.047	-0.005	0.097	0.016	
Prestw-76	Dibucaine	D	H8	BSF018295	BSF018299	BSF018303	BSF018307	0						0.023	0.009	-0.017	0.109	-0.008	
Prestw-77	Prednisone	D	C9	BSF018295	BSF018299	BSF018303	BSF018307	0						0.018	0.182	0.175	0.042	0.19	
Prestw-78	Thioridazine hydrochloride	D	N9	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.015	-0.132	-0.115	0.04	-0.087	
Prestw-79	Diphemanil methylsulfate	D	I10	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.059	0.115	0.181	0.075	0.224	
Prestw-80	Trimethobenzamide hydrochloride	D	E11	BSF018295	BSF018299	BSF018303	BSF018307	0						0.024	-0.063	-0.095	-0.133	-0.125	
Prestw-81	Metronidazole	D	P11	BSF018295	BSF018299	BSF018303	BSF018307	0						0.06	-0.094	-0.174	-0.109	-0.234	
Prestw-83	Edrophonium chloride	D	B13	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.004	-0.1	-0.097	-0.063	-0.11	
Prestw-84	Moroxidine hydrochloride	D	L13	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.01	-0.083	-0.07	-0.029	-0.035	
Prestw-85	Baclofen (R,S)	D	E14	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.032	-0.166	-0.119	-0.111	-0.166	
Prestw-86	Acyclovir	D	O14	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.037	-0.049	-0.01	0.111	-0.024	
Prestw-87	Diazoxide	D	I15	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.079	-0.008	0.076	0.027	0.125	
Prestw-88	Amidopyrine	D	B16	BSF018295	BSF018299	BSF018303	BSF018307	0						0.036	0.031	-0.006	0.109	-0.026	
Prestw-90	Pindolol	D	C17	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.056	0.016	0.08	0.167	0.12	
Prestw-91	Khellin	D	M17	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.02	-0.002	0.021	0.04	0.018	
Prestw-92	Zimelidine dihydrochloride monohydrate	D	H18	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.007	-0.056	-0.049	-0.019	-0.007	
Prestw-93	Azacyclonol	D	C19	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.043	-0.16	-0.11	0.052	-0.122	
Prestw-94	Azathioprine	D	N19	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.024	-0.071	-0.045	0.066	-0.033	
Prestw-95	Lynestrenol	D	H20	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.013	-0.021	-0.002	0.026	-0.011	
Prestw-96	Guanabenz acetate	D	A21	BSF018295	BSF018299	BSF018303	BSF018307	0						0.163	0.209	0.047	0.062	0.196	
Prestw-97	Disulfiram	D	H21	BSF018295	BSF018299	BSF018303	BSF018307	1						0.221	0.213	-0.004	0.101	0.268	
Prestw-98	Acetylsalicylsalicylic acid	D	B22	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.059	-0.168	-0.099	-0.042	-0.182	
Prestw-99	Mianserine hydrochloride	D	H22	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.004	0.088	0.105	0.167	0.159	
Prestw-100	Nocodazole	A	C3	BSF018295	BSF018299	BSF018303	BSF018307	1	0.737	0.796				0.737	0.796	-0.154	0.166	0.612	
Prestw-101	R(-) Apomorphine hydrochloride hemihydrate	A	M3	BSF018295	BSF018299	BSF018303	BSF018307	0						0.043	0.125	0.084	-0.103	0.12	
Prestw-102	Amoxapine	A	G4	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.091	-0.37	-0.256	-0.165	-0.354	
Prestw-103	Cyproheptadine hydrochloride	A	A5	BSF018295	BSF018299	BSF018303	BSF018307	0						0.034	-0.303	-0.371	-0.24	-0.529	
Prestw-104	Famotidine	A	L5	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.047	0.017	0.076	0.031	0.069	
Prestw-105	Danazol	A	G6	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.01	0.033	0.046	-0.042	0.068	
Prestw-106	Nicorandil	A	B7	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.064	0.086	0.157	0.073	0.164	
Prestw-108	Nomifensine maleate	A	D8	BSF018295	BSF018299	BSF018303	BSF018307	0						-0.014	-0.013	0.006	0.193	-0.039	
Prestw-109	Dizocilpine maleate	A	K8	BSF018292	BSF018296	BSF018300	BSF018304	0						0.003	-0.017	-0.017	-0.105	-0.027	
Prestw-110	Acenocoumarol	A	E9	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.053	-0.29	-0.226	-0.159	-0.333	
Prestw-111	Naloxone hydrochloride	A	N9	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.052	0.074	0.132	0.105	0.136	
Prestw-112	Metolazone	A	I10	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.024	0.033	0.062	0.024	0.082	
Prestw-113	Ciprofloxacin hydrochloride hydrate	A	O10	BSF018292	BSF018296	BSF018300	BSF018304	0						0.013	-0.167	-0.192	-0.133	-0.252	
Prestw-114	Ampicillin trihydrate	A	F11	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.019	-0.17	-0.152	-0.099	-0.174	
Prestw-115	Haloperidol	A	J11	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.044	0.04	0.099	0.011	0.123	
Prestw-116	Naltrexone hydrochloride dihydrate	A	A12	BSF018292	BSF018296	BSF018300	BSF018304	0						0.063	-0.041	-0.125	0.026	-0.142	
Prestw-117	Chlorpheniramine maleate	A	H12	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.04	-0.033	0.011	0.069	0.011	
Prestw-118	Nalbuphine hydrochloride	A	O12	BSF018292	BSF018296	BSF018300	BSF018304	1	0.851	0.945			0.88	0.851	0.945	-0.133	0.694	0.88	
Prestw-119	Picotamide monohydrate	A	H13	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.041	-0.139	-0.093	-0.104	-0.151	
Prestw-120	Triamcinolone	A	A14	BSF018292	BSF018296	BSF018300	BSF018304	1	0.577	0.52				0.577	0.52	-0.329	-0.171	0.206	
Prestw-121	Bromocryptine mesylate	A	F14	BSF018292	BSF018296	BSF018300	BSF018304	0						0.039	-0.006	-0.051	-0.007	0.008	
Prestw-123	Dehydrocholic acid	A	A15	BSF018292	BSF018296	BSF018300	BSF018304	0						0.073	-0.026	-0.118	-0.04	-0.178	
Prestw-125	Perphenazine	A	M15	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.005	-0.153	-0.156	0.034	-0.148	
Prestw-126	Mefloquine hydrochloride	A	F16	BSF018292	BSF018296	BSF018300	BSF018304	0						0.035	-0.313	-0.383	-0.068	-0.448	
Prestw-127	Isoconazole	A	O16	BSF018292	BSF018296	BSF018300	BSF018304	0						0.011	0.209	0.21	0.123	0.271	
Prestw-128	Spironolactone	A	D17	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.025	-0.079	-0.056	-0.036	-0.053	
Prestw-129	Pirenzepine dihydrochloride	A	L17	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.07	-0.102	-0.022	0.035	0.002	
Prestw-130	Dexamethasone acetate	A	E18	BSF018292	BSF018296	BSF018300	BSF018304	1	0.605	0.577				0.605	0.577	-0.283	0.026	0.346	
Prestw-131	Glipizide	A	I18	BSF018292	BSF018296	BSF018300	BSF018304	0						0.009	0.062	0.06	0.058	0.073	
Prestw-132	Loxapine succinate	A	A19	BSF018292	BSF018296	BSF018300	BSF018304	0						0.089	-0.152	-0.291	-0.13	-0.326	
Prestw-133	Hydroxyzine dihydrochloride	A	G19	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.046	0.061	0.116	-0.165	0.097	
Prestw-134	Diltiazem hydrochloride	A	N19	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.063	-0.189	-0.114	0.04	-0.128	
Prestw-135	Methotrexate	A	F20	BSF018292	BSF018296	BSF018300	BSF018304	0	0.783	1.124	1.17	1	1.295	0.783	1.125	1.17	1.001	1.295	
Prestw-136	Astemizole	A	N20	BSF018292	BSF018296	BSF018300	BSF018304	0						0.03	-0.177	-0.226	-0.073	-0.261	
Prestw-137	Clindamycin hydrochloride	A	G21	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.021	-0.067	-0.035	0.03	-0.047	
Prestw-138	Terfenadine	A	M21	BSF018292	BSF018296	BSF018300	BSF018304	0						0.011	0.078	0.059	-0.013	0.058	
Prestw-139	Cefotaxime sodium salt	A	B22	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.031	-0.054	-0.016	0.026	-0.024	
Prestw-140	Tetracycline hydrochloride	A	J22	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.067	0.037	0.112	0.112	0.169	
Prestw-141	Verapamil hydrochloride	B	B3	BSF018292	BSF018296	BSF018300	BSF018304	0						0.022	0.135	0.121	-0.022	0.105	
Prestw-142	Dipyridamole	B	I3	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.011	0.123	0.146	0.113	0.163	
Prestw-143	Chlorhexidine	B	P3	BSF018292	BSF018296	BSF018300	BSF018304	1	0.356					0.356	0.557	0.27	0.4	0.651	
Prestw-144	Loperamide hydrochloride	B	F4	BSF018292	BSF018296	BSF018300	BSF018304	0						0.011	-0.151	-0.171	-0.233	-0.195	
Prestw-145	Chlortetracycline hydrochloride	B	M4	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.007	0.137	0.152	0.102	0.187	
Prestw-146	Tamoxifen citrate	B	C5	BSF018292	BSF018296	BSF018300	BSF018304	0						0.006	0.015	0.012	-0.023	0.026	
Prestw-147	Nicergoline	B	J5	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.029	0.004	0.036	0.09	0.069	
Prestw-148	Canrenoic acid potassium salt	B	D6	BSF018292	BSF018296	BSF018300	BSF018304	0						-0.024	0.033	0.066	-0.03	0.026	
Prestw-149	Thioproperazine dimesylate	B	N6	BSF018293	BSF018297	BSF018301	BSF018305	0						0.076	0.064	-0.03	0.092	-0.044	
Prestw-150	Dihydroergotamine tartrate	B	I7	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.004	-0.124	-0.119	-0.013	-0.129	
Prestw-151	Erythromycin	B	C8	BSF018293	BSF018297	BSF018301	BSF018305	0						0.018	0.099	0.09	0.121	0.077	
Prestw-153	Didanosine	B	I8	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.012	0.112	0.135	0.03	0.124	
Prestw-154	Josamycin	B	J8	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.021	0.049	0.078	-0.021	0.084	
Prestw-155	Paclitaxel	B	K8	BSF018293	BSF018297	BSF018301	BSF018305	1	0.875	0.983		0.866	0.99	0.875	0.984	-0.057	0.868	0.991	
Prestw-156	Ivermectin	B	L8	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.002	-0.132	-0.133	-0.105	-0.14	
Prestw-157	Gallamine triethiodide	B	M8	BSF018293	BSF018297	BSF018301	BSF018305	0						0.013	-0.033	-0.052	-0.096	-0.076	
Prestw-158	Neomycin sulfate	B	N8	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.051	-0.094	-0.034	0.067	-0.025	
Prestw-159	Dihydrostreptomycin sulfate	B	O8	BSF018293	BSF018297	BSF018301	BSF018305	0						0.016	-0.003	-0.023	0.017	-0.021	
Prestw-160	Gentamicine sulfate	B	A9	BSF018293	BSF018297	BSF018301	BSF018305	0						0.083	0.059	-0.032	-0.059	-0.018	
Prestw-161	Isoniazid	B	G9	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.056	0.049	0.115	0.042	0.166	
Prestw-162	Pentylenetetrazole	B	H9	BSF018293	BSF018297	BSF018301	BSF018305	0						0.001	-0.033	-0.027	0.023	-0.051	
Prestw-163	Chlorzoxazone	B	I9	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.008	0.027	0.042	0.04	0.076	
Prestw-164	Ornidazole	B	J9	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.029	0.082	0.122	0.018	0.153	
Prestw-165	Ethosuximide	B	K9	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.03	-0.066	-0.026	0.081	-0.003	
Prestw-166	Mafenide hydrochloride	B	L9	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.014	-0.026	-0.003	0.089	0.034	
Prestw-167	Riluzole hydrochloride	B	M9	BSF018293	BSF018297	BSF018301	BSF018305	0						0.01	0.073	0.065	-0.064	0.116	
Prestw-168	Nitrofurantoin	B	N9	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.02	-0.128	-0.097	-0.079	-0.121	
Prestw-169	Hydralazine hydrochloride	B	O9	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.008	0.029	0.047	0.049	0.014	
Prestw-170	Phenelzine sulfate	B	A10	BSF018293	BSF018297	BSF018301	BSF018305	0						0.097	0.176	0.081	-0.109	0.101	
Prestw-171	Tranexamic acid	B	L10	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.052	-0.059	-0.014	-0.079	-0.013	
Prestw-172	Etofylline	B	G11	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.029	-0.036	0.002	0.04	-0.009	
Prestw-173	Tranylcypromine hydrochloride	B	P11	BSF018293	BSF018297	BSF018301	BSF018305	0						0.052	0.02	-0.039	-0.066	-0.058	
Prestw-174	Alverine citrate salt	B	K12	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.003	0.03	0.048	-0.106	0.005	
Prestw-175	Aceclofenac	B	D13	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.054	-0.122	-0.061	-0.044	-0.107	
Prestw-176	Iproniazide phosphate	B	L13	BSF018293	BSF018297	BSF018301	BSF018305	1	0.415					0.414	0.364	-0.189	-0.222	0.132	
Prestw-177	Sulfamethoxazole	B	F14	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.036	-0.04	0.002	0.004	0.008	
Prestw-178	Mephenesin	B	P14	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.018	-0.11	-0.087	0.069	-0.105	
Prestw-179	Phenformin hydrochloride	B	J15	BSF018293	BSF018297	BSF018301	BSF018305	0						0.007	0.087	0.093	0.046	0.157	
Prestw-180	Flutamide	B	E16	BSF018293	BSF018297	BSF018301	BSF018305	0						0.016	0.05	0.022	0.08	0.061	
Prestw-181	Ampyrone	B	K16	BSF018293	BSF018297	BSF018301	BSF018305	0						0.039	0.059	0.021	-0.127	0	
Prestw-182	Levamisole hydrochloride	B	L16	BSF018293	BSF018297	BSF018301	BSF018305	0						0.021	-0.003	-0.038	-0.019	-0.037	
Prestw-183	Pargyline hydrochloride	B	M16	BSF018293	BSF018297	BSF018301	BSF018305	0						0.001	0.019	0.024	-0.048	0.041	
Prestw-184	Methocarbamol	B	N16	BSF018293	BSF018297	BSF018301	BSF018305	0						0.028	-0.016	-0.055	0.064	-0.109	
Prestw-185	Aztreonam	B	O16	BSF018293	BSF018297	BSF018301	BSF018305	0						0.021	0.012	-0.011	-0.043	-0.003	
Prestw-186	Cloxacillin sodium salt	B	P16	BSF018293	BSF018297	BSF018301	BSF018305	0						0.046	-0.01	-0.066	0.058	-0.088	
Prestw-187	Catharanthine	B	A17	BSF018293	BSF018297	BSF018301	BSF018305	0						0.022	-0.093	-0.123	-0.033	-0.168	
Prestw-188	Pentolinium bitartrate	B	B17	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.023	0.197	0.228	0.171	0.265	
Prestw-189	Aminopurine, 6-benzyl	B	C17	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.055	0.043	0.108	0.201	0.126	
Prestw-190	Tolbutamide	B	E17	BSF018293	BSF018297	BSF018301	BSF018305	0						0.002	0.059	0.063	0.148	0.094	
Prestw-191	Midodrine hydrochloride	B	F17	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.071	-0.182	-0.105	-0.068	-0.188	
Prestw-192	Thalidomide	B	G17	BSF018293	BSF018297	BSF018301	BSF018305	1	0.516	0.622				0.516	0.623	0.084	0.161	0.551	
